generic_name,category
INCOBOTULINUMTOXINA,"Nutrition, Fluids, Electrolytes & Supplies"
INDACATEROL MALEATE,Respiratory & Allergy
INDACATEROL/GLYCOPYRROLATE,Respiratory & Allergy
INDAPAMIDE,Cardiovascular & Blood
INDINAVIR SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
INDOMETHACIN,"Nutrition, Fluids, Electrolytes & Supplies"
"INDOMETHACIN, SUBMICRONIZED","Nutrition, Fluids, Electrolytes & Supplies"
INFLIXIMAB,Oncology & Immunology
INFLIXIMAB-DYYB,Oncology & Immunology
INGENOL MEBUTATE,Dermatology (Topical)
INSULIN ADMIN. SUPPLIES,"Endocrine, Metabolic & Hormonal"
INSULIN ASPART,"Endocrine, Metabolic & Hormonal"
INSULIN ASPART PROT/INSULN ASP,"Endocrine, Metabolic & Hormonal"
INSULIN DEGLUDEC,"Endocrine, Metabolic & Hormonal"
INSULIN DEGLUDEC/LIRAGLUTIDE,"Endocrine, Metabolic & Hormonal"
INSULIN DETEMIR,"Endocrine, Metabolic & Hormonal"
"INSULIN GLARGINE,HUM.REC.ANLOG","Endocrine, Metabolic & Hormonal"
INSULIN GLARGINE/LIXISENATIDE,"Endocrine, Metabolic & Hormonal"
INSULIN GLULISINE,"Endocrine, Metabolic & Hormonal"
INSULIN LISPRO,"Endocrine, Metabolic & Hormonal"
INSULIN LISPRO PROTAMIN/LISPRO,"Endocrine, Metabolic & Hormonal"
INSULIN NPH HUM/REG INSULIN HM,"Endocrine, Metabolic & Hormonal"
INSULIN NPH HUMAN ISOPHANE,"Endocrine, Metabolic & Hormonal"
INSULIN PUMP CARTRIDGE,"Endocrine, Metabolic & Hormonal"
"INSULIN REGULAR, HUMAN","Endocrine, Metabolic & Hormonal"
"INTERFERON ALFA-2B,RECOMB.",Oncology & Immunology
INTERFERON BETA-1A,Oncology & Immunology
INTERFERON BETA-1A/ALBUMIN,Oncology & Immunology
INTERFERON BETA-1B,Oncology & Immunology
"INTERFERON GAMMA-1B,RECOMB.",Oncology & Immunology
IPILIMUMAB,Oncology & Immunology
IPRATROPIUM BROMIDE,"Neurology, Psychiatry & Pain"
IPRATROPIUM/ALBUTEROL SULFATE,"Neurology, Psychiatry & Pain"
IRBESARTAN,Cardiovascular & Blood
IRBESARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
IRINOTECAN HCL,Oncology & Immunology
IRINOTECAN LIPOSOMAL,Oncology & Immunology
"IRON CARB,GL/FA/B12/C/DOCUSATE","Nutrition, Fluids, Electrolytes & Supplies"
"IRON FUM,PS/FOLIC ACID/VITC/B3","Nutrition, Fluids, Electrolytes & Supplies"
"IRON FUM/FOLIC ACID/MV,MIN 15","Nutrition, Fluids, Electrolytes & Supplies"
"IRON,FM,PS/FOLIC/B,C18/L.CASEI","Nutrition, Fluids, Electrolytes & Supplies"
ISAVUCONAZONIUM SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ISOCARBOXAZID,"Neurology, Psychiatry & Pain"
ISONIAZID,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ISOSORBIDE DINIT/HYDRALAZINE,Cardiovascular & Blood
ISOSORBIDE DINITRATE,Cardiovascular & Blood
ISOSORBIDE MONONITRATE,Cardiovascular & Blood
ISOTRETINOIN,Dermatology (Topical)
ISRADIPINE,Cardiovascular & Blood
ITRACONAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IVABRADINE HCL,Cardiovascular & Blood
IVACAFTOR,Respiratory & Allergy
IVERMECTIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IXABEPILONE,Oncology & Immunology
IXAZOMIB CITRATE,Oncology & Immunology
IXEKIZUMAB,Oncology & Immunology
JAPANESE ENCEPHALITIS VACC/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
KETOCONAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
KETOPROFEN,"Nutrition, Fluids, Electrolytes & Supplies"
KETOROLAC TROMETHAMINE,"Nutrition, Fluids, Electrolytes & Supplies"
KETOROLAC TROMETHAMINE/PF,Ophthalmic & Otic
L-NORGEST/E.ESTRADIOL-E.ESTRAD,"Endocrine, Metabolic & Hormonal"
LABETALOL HCL,"Nutrition, Fluids, Electrolytes & Supplies"
LACOSAMIDE,"Neurology, Psychiatry & Pain"
LACTULOSE,Gastrointestinal & Genitourinary
LAMIVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LAMIVUDINE/ZIDOVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LAMOTRIGINE,"Neurology, Psychiatry & Pain"
LANCETS,"Nutrition, Fluids, Electrolytes & Supplies"
LANREOTIDE ACETATE,"Endocrine, Metabolic & Hormonal"
LANSOPRAZOLE,Gastrointestinal & Genitourinary
LANSOPRAZOLE/AMOXICILN/CLARITH,Gastrointestinal & Genitourinary
LANTHANUM CARBONATE,"Endocrine, Metabolic & Hormonal"
LAPATINIB DITOSYLATE,Oncology & Immunology
LARONIDASE,"Endocrine, Metabolic & Hormonal"
LATANOPROST,Ophthalmic & Otic
LATANOPROSTENE BUNOD,Ophthalmic & Otic
LEDIPASVIR/SOFOSBUVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LEFLUNOMIDE,Oncology & Immunology
LENALIDOMIDE,Oncology & Immunology
LENVATINIB MESYLATE,Oncology & Immunology
LESINURAD,"Endocrine, Metabolic & Hormonal"
LESINURAD/ALLOPURINOL,"Endocrine, Metabolic & Hormonal"
LETROZOLE,Oncology & Immunology
LEUCOVORIN CALCIUM,Oncology & Immunology
LEUPROLIDE ACETATE,Oncology & Immunology
LEUPROLIDE/NORETHINDRONE ACET,Oncology & Immunology
LEVALBUTEROL HCL,Respiratory & Allergy
LEVALBUTEROL TARTRATE,Respiratory & Allergy
LEVETIRACETAM,"Neurology, Psychiatry & Pain"
LEVETIRACETAM IN NACL (ISO-OS),"Neurology, Psychiatry & Pain"
LEVOBUNOLOL HCL,Ophthalmic & Otic
LEVOCARNITINE,"Nutrition, Fluids, Electrolytes & Supplies"
LEVOCARNITINE (WITH SUGAR),"Nutrition, Fluids, Electrolytes & Supplies"
LEVOCETIRIZINE DIHYDROCHLORIDE,Respiratory & Allergy
LEVOFLOXACIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LEVOFLOXACIN IN DEXTROSE 5 %,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LEVOLEUCOVORIN CALCIUM,Oncology & Immunology
LEVOMILNACIPRAN HCL,"Neurology, Psychiatry & Pain"
LEVONORGESTREL,"Endocrine, Metabolic & Hormonal"
LEVONORGESTREL-ETHIN ESTRADIOL,"Endocrine, Metabolic & Hormonal"
LEVORPHANOL TARTRATE,"Neurology, Psychiatry & Pain"
LEVOTHYROXINE SODIUM,"Endocrine, Metabolic & Hormonal"
LIDOCAINE,"Neurology, Psychiatry & Pain"
LIDOCAINE HCL,"Neurology, Psychiatry & Pain"
LIDOCAINE HCL/EPINEPHRINE,Cardiovascular & Blood
LIDOCAINE HCL/PF,"Neurology, Psychiatry & Pain"
LIDOCAINE/HYDROCORTISONE AC,"Neurology, Psychiatry & Pain"
LIDOCAINE/PRILOCAINE,Cardiovascular & Blood
LIDOCAINE/TETRACAINE,"Neurology, Psychiatry & Pain"
LIFITEGRAST,Ophthalmic & Otic
LINACLOTIDE,Gastrointestinal & Genitourinary
LINAGLIPTIN,"Endocrine, Metabolic & Hormonal"
LINAGLIPTIN/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
LINCOMYCIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LINDANE,Dermatology (Topical)
LINEZOLID,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LINEZOLID-0.9% SODIUM CHLORIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LIOTHYRONINE SODIUM,"Endocrine, Metabolic & Hormonal"
LIPASE/PROTEASE/AMYLASE,"Nutrition, Fluids, Electrolytes & Supplies"
LIRAGLUTIDE,"Endocrine, Metabolic & Hormonal"
LISDEXAMFETAMINE DIMESYLATE,"Neurology, Psychiatry & Pain"
LISINOPRIL,Cardiovascular & Blood
LISINOPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
LITHIUM CARBONATE,"Neurology, Psychiatry & Pain"
LITHIUM CITRATE,"Neurology, Psychiatry & Pain"
LIXISENATIDE,"Endocrine, Metabolic & Hormonal"
LODOXAMIDE TROMETHAMINE,Ophthalmic & Otic
LOMITAPIDE MESYLATE,"Endocrine, Metabolic & Hormonal"
LOMUSTINE,Oncology & Immunology
LOPERAMIDE HCL,Gastrointestinal & Genitourinary
LOPINAVIR/RITONAVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
LORAZEPAM,"Neurology, Psychiatry & Pain"
LORCASERIN HCL,"Endocrine, Metabolic & Hormonal"
LOSARTAN POTASSIUM,Cardiovascular & Blood
LOSARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
LOTEPREDNOL ETABONATE,Ophthalmic & Otic
LOVASTATIN,Cardiovascular & Blood
LOXAPINE SUCCINATE,"Neurology, Psychiatry & Pain"
LUBIPROSTONE,Gastrointestinal & Genitourinary
LULICONAZOLE,Dermatology (Topical)
LUMACAFTOR/IVACAFTOR,Respiratory & Allergy
LURASIDONE HCL,"Neurology, Psychiatry & Pain"
MACITENTAN,Cardiovascular & Blood
MAFENIDE ACETATE,Dermatology (Topical)
MAGNESIUM SULFATE,"Nutrition, Fluids, Electrolytes & Supplies"
MAGNESIUM SULFATE IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
MAGNESIUM SULFATE/D5W,"Nutrition, Fluids, Electrolytes & Supplies"
MALATHION,Dermatology (Topical)
MANNITOL,Respiratory & Allergy
MAPROTILINE HCL,"Neurology, Psychiatry & Pain"
MARAVIROC,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"MEASLES,MUMPS,RUB,VARICELLA/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"MEASLES,MUMPS,RUBELLA VACC/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MEBENDAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MECAMYLAMINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
MECHLORETHAMINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
MECLIZINE HCL,Respiratory & Allergy
MECLOFENAMATE SODIUM,"Nutrition, Fluids, Electrolytes & Supplies"
MEDROXYPROGESTERONE ACETATE,"Endocrine, Metabolic & Hormonal"
MEFENAMIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
MEFLOQUINE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MEGESTROL ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
MELOXICAM,"Nutrition, Fluids, Electrolytes & Supplies"
"MELOXICAM, SUBMICRONIZED","Nutrition, Fluids, Electrolytes & Supplies"
MELPHALAN,Oncology & Immunology
MEMANTINE HCL,"Neurology, Psychiatry & Pain"
MEMANTINE HCL/DONEPEZIL HCL,"Neurology, Psychiatry & Pain"
"MENING VAC A,C,Y,W-135 DIP/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"MENINGOCOC VAC A,C,Y,W-135/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"MENINGOCOCCAL B VACCINE,4-COMP",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MEPERIDINE HCL,"Neurology, Psychiatry & Pain"
MEPERIDINE HCL/PF,"Neurology, Psychiatry & Pain"
MEPOLIZUMAB,Oncology & Immunology
MEPROBAMATE,"Neurology, Psychiatry & Pain"
MERCAPTOPURINE,Oncology & Immunology
MEROPENEM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MEROPENEM-0.9% SODIUM CHLORIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MESALAMINE,Gastrointestinal & Genitourinary
MESALAMINE W/CLEANSING WIPES,Gastrointestinal & Genitourinary
MESNA,Oncology & Immunology
METAPROTERENOL SULFATE,Respiratory & Allergy
METAXALONE,"Neurology, Psychiatry & Pain"
METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
METH/MEBLUE/SOD PHOS/PSAL/HYOS,"Nutrition, Fluids, Electrolytes & Supplies"
METHADONE HCL,"Neurology, Psychiatry & Pain"
METHAMPHETAMINE HCL,"Neurology, Psychiatry & Pain"
METHAZOLAMIDE,"Neurology, Psychiatry & Pain"
METHEN/MBLUE/SAL/SOD PHOS/HYOS,"Nutrition, Fluids, Electrolytes & Supplies"
METHENAM/M.BLUE/SALICYL/HYOSCY,"Nutrition, Fluids, Electrolytes & Supplies"
METHENAM/SOD PHOS/MBLUE/HYOSCY,"Nutrition, Fluids, Electrolytes & Supplies"
METHENAMINE HIPPURATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
METHENAMINE MANDELATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
METHIMAZOLE,"Endocrine, Metabolic & Hormonal"
METHOCARBAMOL,"Neurology, Psychiatry & Pain"
METHOTREXATE,Oncology & Immunology
METHOTREXATE SODIUM,Oncology & Immunology
METHOTREXATE SODIUM/PF,Oncology & Immunology
METHOTREXATE/PF,Oncology & Immunology
METHOXSALEN,Dermatology (Topical)
METHSCOPOLAMINE BROMIDE,Gastrointestinal & Genitourinary
METHSUXIMIDE,"Neurology, Psychiatry & Pain"
METHYCLOTHIAZIDE,Cardiovascular & Blood
METHYLDOPA,Cardiovascular & Blood
METHYLDOPA/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
METHYLERGONOVINE MALEATE,"Endocrine, Metabolic & Hormonal"
METHYLNALTREXONE BROMIDE,"Neurology, Psychiatry & Pain"
METHYLPHENIDATE,"Neurology, Psychiatry & Pain"
METHYLPHENIDATE HCL,"Neurology, Psychiatry & Pain"
METHYLPREDNISOLONE,"Endocrine, Metabolic & Hormonal"
METHYLPREDNISOLONE ACETATE,"Endocrine, Metabolic & Hormonal"
METHYLPREDNISOLONE SOD SUCC,"Endocrine, Metabolic & Hormonal"
METHYLPREDNISOLONE SOD SUCC/PF,"Endocrine, Metabolic & Hormonal"
METHYLTESTOSTERONE,"Endocrine, Metabolic & Hormonal"
METOCLOPRAMIDE HCL,Gastrointestinal & Genitourinary
METOLAZONE,Cardiovascular & Blood
METOPROLOL SU/HYDROCHLOROTHIAZ,Cardiovascular & Blood
METOPROLOL SUCCINATE,Cardiovascular & Blood
METOPROLOL TARTRATE,Cardiovascular & Blood
METOPROLOL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
METRELEPTIN,"Endocrine, Metabolic & Hormonal"
METRONIDAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
METRONIDAZOLE/SODIUM CHLORIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
METYROSINE,"Endocrine, Metabolic & Hormonal"
MEXILETINE HCL,Cardiovascular & Blood
MICAFUNGIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MICONAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MICONAZOLE NITRATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MICONAZOLE NITRATE/ZINC OX/PET,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MIDAZOLAM HCL,"Neurology, Psychiatry & Pain"
MIDAZOLAM HCL/PF,"Neurology, Psychiatry & Pain"
MIDODRINE HCL,Cardiovascular & Blood
MIDOSTAURIN,"Nutrition, Fluids, Electrolytes & Supplies"
MIFEPRISTONE,"Endocrine, Metabolic & Hormonal"
MIGLITOL,"Endocrine, Metabolic & Hormonal"
MIGLUSTAT,"Endocrine, Metabolic & Hormonal"
MILNACIPRAN HCL,"Neurology, Psychiatry & Pain"
MILRINONE LACTATE,Cardiovascular & Blood
MILRINONE LACTATE/D5W,Cardiovascular & Blood
MINOCYCLINE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MINOCYCLINE HCL MICROSPHERES,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MINOXIDIL,Dermatology (Topical)
MIPOMERSEN SODIUM,"Endocrine, Metabolic & Hormonal"
MIRABEGRON,Gastrointestinal & Genitourinary
MIRTAZAPINE,"Neurology, Psychiatry & Pain"
MISOPROSTOL,Gastrointestinal & Genitourinary
MITOMYCIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MITOTANE,Oncology & Immunology
MITOXANTRONE HCL,Oncology & Immunology
MODAFINIL,"Neurology, Psychiatry & Pain"
MOEXIPRIL HCL,Cardiovascular & Blood
MOEXIPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
MOLINDONE HCL,"Neurology, Psychiatry & Pain"
MOMETASONE FUROATE,Dermatology (Topical)
MOMETASONE/FORMOTEROL,Respiratory & Allergy
MONTELUKAST SODIUM,Respiratory & Allergy
MORPHINE SULFATE,"Neurology, Psychiatry & Pain"
MORPHINE SULFATE/NALTREXONE,"Neurology, Psychiatry & Pain"
MORPHINE SULFATE/PF,"Neurology, Psychiatry & Pain"
MOXIFLOXACIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MOXIFLOXACIN IN NACL (ISO-OSM),Ophthalmic & Otic
"MOXIFLOXACIN/SOD.ACE,SUL/WATER",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
MULTIVIT-MINS NO.7/FOLIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
MUPIROCIN,Dermatology (Topical)
MUPIROCIN CALCIUM,Dermatology (Topical)
MYCOPHENOLATE MOFETIL,Oncology & Immunology
MYCOPHENOLATE MOFETIL HCL,Oncology & Immunology
MYCOPHENOLATE SODIUM,Oncology & Immunology
"N.MENINGITIDIS B,LIPID FHBP RC","Nutrition, Fluids, Electrolytes & Supplies"
NABILONE,"Neurology, Psychiatry & Pain"
NABUMETONE,"Nutrition, Fluids, Electrolytes & Supplies"
NADOLOL,Cardiovascular & Blood
NADOLOL/BENDROFLUMETHIAZIDE,Cardiovascular & Blood
NAFARELIN ACETATE,Oncology & Immunology
"NAFCILLIN IN DEXTROSE,ISO-OSM",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NAFCILLIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NAFTIFINE HCL,Dermatology (Topical)
NALBUPHINE HCL,"Neurology, Psychiatry & Pain"
NALDEMEDINE TOSYLATE,"Neurology, Psychiatry & Pain"
NALOXEGOL OXALATE,"Neurology, Psychiatry & Pain"
NALOXONE HCL,"Neurology, Psychiatry & Pain"
NALTREXONE HCL,"Neurology, Psychiatry & Pain"
NALTREXONE HCL/BUPROPION HCL,"Neurology, Psychiatry & Pain"
NALTREXONE MICROSPHERES,"Neurology, Psychiatry & Pain"
NAPHAZOLINE HCL,Ophthalmic & Otic
NAPROXEN,"Nutrition, Fluids, Electrolytes & Supplies"
NAPROXEN SODIUM,"Nutrition, Fluids, Electrolytes & Supplies"
NAPROXEN/ESOMEPRAZOLE MAG,Gastrointestinal & Genitourinary
NARATRIPTAN HCL,"Neurology, Psychiatry & Pain"
NATALIZUMAB,Oncology & Immunology
NATAMYCIN,Ophthalmic & Otic
NATEGLINIDE,"Endocrine, Metabolic & Hormonal"
NEBIVOLOL HCL,Cardiovascular & Blood
NEBIVOLOL HCL/VALSARTAN,Cardiovascular & Blood
NEDOCROMIL SODIUM,Respiratory & Allergy
NEFAZODONE HCL,"Neurology, Psychiatry & Pain"
NELFINAVIR MESYLATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEOMYC/BACIT/POLYMYX/HYDROCORT,"Nutrition, Fluids, Electrolytes & Supplies"
NEOMYC/COLIST/HYDROCORT/THONZN,"Nutrition, Fluids, Electrolytes & Supplies"
NEOMYCIN SULF/BACITRACIN/POLY,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEOMYCIN SULF/POLYMYXIN B SULF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEOMYCIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEOMYCIN SULFATE/FLUOCINOLONE,Ophthalmic & Otic
NEOMYCIN/BACIT/P-MYX/HYDROCORT,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEOMYCIN/POLYMYXIN B/DEXAMETHA,Ophthalmic & Otic
NEOMYCIN/POLYMYXIN B/HYDROCORT,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEOMYCIN/POLYMYXN B/GRAMICIDIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NEPAFENAC,Ophthalmic & Otic
NERATINIB MALEATE,Oncology & Immunology
NETUPITANT/PALONOSETRON HCL,Gastrointestinal & Genitourinary
NEVIRAPINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NIACIN,"Endocrine, Metabolic & Hormonal"
NICARDIPINE HCL,Cardiovascular & Blood
NICOTINE,"Neurology, Psychiatry & Pain"
NIFEDIPINE,Cardiovascular & Blood
NILOTINIB HCL,Oncology & Immunology
NILUTAMIDE,Oncology & Immunology
NIMODIPINE,Cardiovascular & Blood
NINTEDANIB ESYLATE,"Nutrition, Fluids, Electrolytes & Supplies"
NIRAPARIB TOSYLATE,Oncology & Immunology
NISOLDIPINE,Cardiovascular & Blood
NITAZOXANIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NITISINONE,"Endocrine, Metabolic & Hormonal"
NITROFURANTOIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NITROFURANTOIN MACROCRYSTAL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NITROFURANTOIN MONOHYD/M-CRYST,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NITROGLYCERIN,Cardiovascular & Blood
NIVOLUMAB,Oncology & Immunology
NIZATIDINE,Gastrointestinal & Genitourinary
NORELGESTROMIN/ETHIN.ESTRADIOL,"Endocrine, Metabolic & Hormonal"
NORETH-ETHINYL ESTRADIOL/IRON,"Endocrine, Metabolic & Hormonal"
NORETHINDRONE,"Endocrine, Metabolic & Hormonal"
NORETHINDRONE AC-ETH ESTRADIOL,"Endocrine, Metabolic & Hormonal"
NORETHINDRONE ACETATE,"Endocrine, Metabolic & Hormonal"
NORETHINDRONE-E.ESTRADIOL-IRON,"Endocrine, Metabolic & Hormonal"
NORETHINDRONE-ETHINYL ESTRAD,"Endocrine, Metabolic & Hormonal"
NORETHINDRONE-MESTRANOL,"Endocrine, Metabolic & Hormonal"
NORGESTIMATE-ETHINYL ESTRADIOL,"Endocrine, Metabolic & Hormonal"
NORGESTREL-ETHINYL ESTRADIOL,"Endocrine, Metabolic & Hormonal"
NORTRIPTYLINE HCL,"Neurology, Psychiatry & Pain"
NYSTATIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
NYSTATIN/TRIAMCIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OBETICHOLIC ACID,"Endocrine, Metabolic & Hormonal"
OBINUTUZUMAB,Oncology & Immunology
OCRELIZUMAB,Oncology & Immunology
OCTREOTIDE ACETATE,"Endocrine, Metabolic & Hormonal"
"OCTREOTIDE ACETATE,MI-SPHERES","Endocrine, Metabolic & Hormonal"
OFATUMUMAB,Oncology & Immunology
OFLOXACIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OLANZAPINE,"Neurology, Psychiatry & Pain"
OLANZAPINE PAMOATE,"Neurology, Psychiatry & Pain"
OLANZAPINE/FLUOXETINE HCL,"Neurology, Psychiatry & Pain"
OLAPARIB,Oncology & Immunology
OLARATUMAB,Oncology & Immunology
OLMESARTAN MEDOXOMIL,Cardiovascular & Blood
OLMESARTAN/AMLODIPIN/HCTHIAZID,Cardiovascular & Blood
OLMESARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
OLODATEROL HCL,Respiratory & Allergy
OLOPATADINE HCL,Ophthalmic & Otic
OLSALAZINE SODIUM,Gastrointestinal & Genitourinary
OMACETAXINE MEPESUCCINATE,Oncology & Immunology
OMALIZUMAB,Oncology & Immunology
OMBITA/PARITAP/RITON/DASABUVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OMEGA-3 ACID ETHYL ESTERS,"Endocrine, Metabolic & Hormonal"
OMEPRAZOLE,Gastrointestinal & Genitourinary
OMEPRAZOLE MAGNESIUM,Gastrointestinal & Genitourinary
OMEPRAZOLE/CLARITH/AMOXICILLIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OMEPRAZOLE/SODIUM BICARBONATE,Gastrointestinal & Genitourinary
ONABOTULINUMTOXINA,"Nutrition, Fluids, Electrolytes & Supplies"
ONDANSETRON,Gastrointestinal & Genitourinary
ONDANSETRON HCL,Gastrointestinal & Genitourinary
ONDANSETRON HCL/PF,Gastrointestinal & Genitourinary
OPIUM TINCTURE,"Neurology, Psychiatry & Pain"
OPIUM/BELLADONNA ALKALOIDS,"Neurology, Psychiatry & Pain"
ORITAVANCIN DIPHOSPHATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ORLISTAT,"Endocrine, Metabolic & Hormonal"
ORPHENADRINE CITRATE,"Neurology, Psychiatry & Pain"
OSELTAMIVIR PHOSPHATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OSIMERTINIB MESYLATE,Oncology & Immunology
OSPEMIFENE,"Endocrine, Metabolic & Hormonal"
OXACILLIN IN DEXTROSE(ISO-OSM),Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OXACILLIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
OXALIPLATIN,Oncology & Immunology
OXANDROLONE,"Endocrine, Metabolic & Hormonal"
OXAPROZIN,"Nutrition, Fluids, Electrolytes & Supplies"
OXAZEPAM,"Neurology, Psychiatry & Pain"
OXCARBAZEPINE,"Neurology, Psychiatry & Pain"
OXICONAZOLE NITRATE,Dermatology (Topical)
OXYBUTYNIN,Gastrointestinal & Genitourinary
OXYBUTYNIN CHLORIDE,Gastrointestinal & Genitourinary
OXYCODONE HCL,"Neurology, Psychiatry & Pain"
OXYCODONE HCL/ACETAMINOPHEN,"Neurology, Psychiatry & Pain"
OXYCODONE HCL/ASPIRIN,Cardiovascular & Blood
OXYCODONE MYRISTATE,"Neurology, Psychiatry & Pain"
OXYMETAZOLINE HCL,Respiratory & Allergy
OXYMETHOLONE,"Endocrine, Metabolic & Hormonal"
OXYMORPHONE HCL,"Neurology, Psychiatry & Pain"
OXYTOCIN,"Endocrine, Metabolic & Hormonal"
PACLITAXEL,Oncology & Immunology
PACLITAXEL PROTEIN-BOUND,Oncology & Immunology
PALBOCICLIB,Oncology & Immunology
PALIPERIDONE,"Neurology, Psychiatry & Pain"
PALIPERIDONE PALMITATE,"Neurology, Psychiatry & Pain"
PALIVIZUMAB,Oncology & Immunology
PALONOSETRON HCL,Gastrointestinal & Genitourinary
PAMIDRONATE DISODIUM,"Endocrine, Metabolic & Hormonal"
PANITUMUMAB,Oncology & Immunology
PANOBINOSTAT LACTATE,Oncology & Immunology
PANTOPRAZOLE SODIUM,Gastrointestinal & Genitourinary
PAPAVERINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
PARATHYROID HORMONE,"Endocrine, Metabolic & Hormonal"
PAREGORIC,"Neurology, Psychiatry & Pain"
PARENTERAL AMINO ACID 10% NO.4,"Nutrition, Fluids, Electrolytes & Supplies"
PARENTERAL AMINO ACID 10% NO.6,"Nutrition, Fluids, Electrolytes & Supplies"
PARENTERAL AMINO ACID 15% NO.1,"Nutrition, Fluids, Electrolytes & Supplies"
PARENTERAL AMINO ACID 20% NO.1,"Nutrition, Fluids, Electrolytes & Supplies"
PARICALCITOL,"Endocrine, Metabolic & Hormonal"
